"Estado","Semana_Epidemiologica","Anio","Incidencia","n","fecha"
"MICHOACÁN",37,2018,60,60,"2018-09-09"
"GUERRERO",37,2018,63,63,"2018-09-09"
"TABASCO",37,2018,12,12,"2018-09-09"
"HIDALGO",37,2018,34,34,"2018-09-09"
"TAMAULIPAS",37,2018,37,37,"2018-09-09"
"NAYARIT",37,2018,24,24,"2018-09-09"
"NUEVO LEÓN",37,2018,271,271,"2018-09-09"
"YUCATÁN",37,2018,23,23,"2018-09-09"
"COLIMA",37,2018,35,35,"2018-09-09"
"GUANAJUATO",37,2018,21,21,"2018-09-09"
"CAMPECHE",37,2018,14,14,"2018-09-09"
"SINALOA",37,2018,66,66,"2018-09-09"
"SONORA",37,2018,20,20,"2018-09-09"
"MÉXICO",37,2018,33,33,"2018-09-09"
"BAJA CALIFORNIA SUR",37,2018,101,101,"2018-09-09"
"COAHUILA",37,2018,22,22,"2018-09-09"
"QUERÉTARO",37,2018,6,6,"2018-09-09"
"AGUASCALIENTES",37,2018,0,0,"2018-09-09"
"CHIHUAHUA",37,2018,0,0,"2018-09-09"
"BAJA CALIFORNIA",37,2018,2,2,"2018-09-09"
"CIUDAD DE MÉXICO",37,2018,-2,-2,"2018-09-09"
"DURANGO",37,2018,5,5,"2018-09-09"
"TLAXCALA",37,2018,0,0,"2018-09-09"
"ZACATECAS",37,2018,1,1,"2018-09-09"
"VERACRUZ",38,2018,757,757,"2018-09-16"
"JALISCO",38,2018,5871,5871,"2018-09-16"
"CHIAPAS",38,2018,489,489,"2018-09-16"
"OAXACA",38,2018,327,327,"2018-09-16"
"QUINTANA ROO",38,2018,17,17,"2018-09-16"
"MORELOS",38,2018,48,48,"2018-09-16"
"PUEBLA",38,2018,29,29,"2018-09-16"
"SAN LUIS POTOSÍ",38,2018,133,133,"2018-09-16"
"MICHOACÁN",38,2018,67,67,"2018-09-16"
"GUERRERO",38,2018,63,63,"2018-09-16"
